Country,Amp_SAC,Pond_num
Switzerland,13,61
Switzerland,13,62
Switzerland,13,63
Switzerland,13,64
Switzerland,13,65
Switzerland,13,66
Switzerland,13,67
Switzerland,13,68
Switzerland,13,69
Switzerland,14,70
Switzerland,14,71
Switzerland,14,72
Switzerland,14,73
Switzerland,14,74
Switzerland,14,75
Switzerland,14,76
Switzerland,14,77
Switzerland,14,78
Switzerland,14,79
Switzerland,14,80
Switzerland,14,81
Switzerland,14,82
Switzerland,14,83
Switzerland,14,84
Switzerland,14,85
Switzerland,14,86
Switzerland,14,87
Switzerland,14,88
Switzerland,14,89
Switzerland,14,90
Switzerland,14,91
Switzerland,14,92
Switzerland,14,93
Switzerland,14,94
Switzerland,14,95
Switzerland,15,96
Switzerland,15,97
Switzerland,15,98
Switzerland,15,99
Switzerland,15,100
Germany,3,1
Germany,4,2
Germany,4,3
Germany,5,4
Germany,5,5
Germany,6,6
Germany,6,7
Germany,6,8
Germany,7,9
Germany,7,10
Germany,7,11
Germany,7,12
Germany,8,13
Germany,8,14
Germany,8,15
Germany,8,16
Germany,9,17
Germany,9,18
Germany,9,19
Germany,9,20
Germany,9,21
Germany,10,22
Germany,10,23
Germany,10,24
Germany,10,25
Germany,10,26
Germany,10,27
Germany,11,28
Germany,11,29
Germany,11,30
Germany,11,31
Germany,11,32
Germany,11,33
Germany,11,34
Germany,12,35
Germany,12,36
Germany,12,37
Germany,12,38
Germany,12,39
Germany,12,40
Germany,12,41
Germany,12,42
Germany,12,43
Germany,13,44
Germany,13,45
Germany,13,46
Germany,13,47
Germany,13,48
Germany,13,49
Germany,13,50
Germany,13,51
Germany,13,52
Germany,14,53
Germany,14,54
Germany,14,55
Germany,14,56
Germany,14,57
Germany,14,58
Germany,14,59
Germany,14,60
Germany,14,61
Germany,14,62
Germany,15,63
Germany,15,64
Germany,15,65
Germany,15,66
Germany,15,67
Germany,15,68
Germany,15,69
Germany,15,70
Germany,15,71
Germany,15,72
Germany,15,73
Germany,16,74
Germany,16,75
Germany,16,76
Germany,16,77
Germany,16,78
Germany,16,79
Germany,16,80
Germany,16,81
Germany,16,82
Germany,16,83
Germany,16,84
Germany,16,85
Germany,17,86
Germany,17,87
Germany,17,88
Germany,17,89
Germany,17,90
Germany,17,91
Germany,17,92
Germany,17,93
Germany,17,94
Germany,17,95
Germany,17,96
Germany,17,97
Germany,17,98
Germany,18,99
Germany,18,100
Denmark,3,1
Denmark,4,2
Denmark,4,3
Denmark,5,4
Denmark,5,5
Denmark,5,6
Denmark,6,7
Denmark,6,8
Denmark,6,9
Denmark,6,10
Denmark,6,11
Denmark,6,12
Denmark,6,13
Denmark,7,14
Denmark,7,15
Denmark,7,16
Denmark,7,17
Denmark,7,18
Denmark,7,19
Denmark,7,20
Denmark,7,21
Denmark,7,22
Denmark,7,23
Denmark,8,24
Denmark,8,25
Denmark,8,26
Denmark,8,27
Denmark,8,28
Denmark,8,29
Denmark,8,30
Denmark,8,31
Denmark,8,32
Denmark,8,33
Denmark,8,34
Denmark,8,35
Denmark,8,36
Denmark,8,37
Denmark,8,38
Denmark,8,39
Denmark,9,40
Denmark,9,41
Denmark,9,42
Denmark,9,43
